NOC,Weight,Medal,Gold,Silver,Bronze,NoMedal
BEL,0.0,30.692196240312633,25.74069062384888,1.0192482865768908,3.9322573298868644,48.25143370797123
SLO,0.0,35.112864739107685,24.337689294904617,3.967081436125469,6.808094008077597,27.815215024404242
RSA,0.0,25.454853332870723,23.255654264389914,0.006897330283038335,2.1923017381977687,64.40119817486496
VEN,0.0,23.768590267227243,23.22432196930572,0.005117236921318032,0.5391510610002047,46.857775387420766
SWE,0.0,30.261315492528635,23.188095735468302,0.007028545330214247,7.066191211730119,67.8607547946495
AUT,0.0,28.927789372339518,23.11166716626277,0.8720343072781145,4.944087898798636,38.72583630040599
UZB,0.5,31.361472721292095,22.415029229157795,5.37301946627086,3.5734240258634387,32.10879580121314
IRL,0.0,27.10453816382799,22.04942120599469,1.7509375764626036,3.304179381370696,31.393867742940976
FIN,0.0,21.87263764980553,21.448413313015106,0.004323427771379922,0.41990090901904537,39.7562154282902
ARG,0.0,25.02807778597793,20.7703937052775,1.4300267542022862,2.8276573264981444,51.61931988636764
AZE,0.0,25.655096182261346,20.51368496088048,1.7355846311172243,3.4058265902636453,23.56042770066964
CRO,0.0,20.78677677975866,19.464254686848115,0.004350570913697723,1.3181715219968477,41.241200112611516
SVK,0.0,20.888293327585185,19.190348767441975,1.6917581630932428,0.006186397049965549,33.69492587643478
PRK,0.0,19.19970128689113,19.03160600562728,0.002837360379388165,0.1652579208844613,25.866846206864867
LTU,0.0,20.097455864968115,17.984163660772268,0.5122307528168228,1.601061451379025,34.94198199097052
NOR,0.0,19.978211071247596,17.713333354290317,0.10969280717608954,2.155184909781191,29.24151790443494
SRB,0.0,19.799171972601812,16.910434046207683,0.0027846110598937837,2.885953315334235,28.410936422039143
BUL,0.0,19.790378511928203,16.75227141581946,0.7406977620027915,2.2974093341059483,47.35692138049606
IRI,0.0,36.96639128635948,16.679853282002597,7.436800355378009,12.849737648978873,15.764370278628773
KEN,0.0,18.371340480119503,16.426464293988257,0.0035795244797468834,1.9412966616514988,31.882987590361562
LAT,0.0,17.647012015124446,16.217417577174356,0.8610186278528421,0.5685758100972489,25.11485378613362
TPE,0.0,21.06598616374636,15.657948369618367,2.9738631046425987,2.4341746894853924,30.074213955411587
ISR,0.0,18.91421740670145,15.636176856522352,0.8563293009965903,2.4217112491825072,28.302134345626747
THA,0.0,18.985324286903797,15.602087447061349,3.3794789511479872,0.003757888694462404,22.450818667439584
MAR,0.0,21.583318491124196,15.378738673620525,2.2313494593785896,3.973230358125081,28.652943959164677
JAM,0.0,16.17214438412832,14.977799039415599,0.0030518979036920847,1.1912934468090284,27.757688766253462
