NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
ANG,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,12.555209497406906
BUR,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,4.455850268370148
GUI,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,8.923921882188193
NEP,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,4.569850059277884
NIG,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,4.275880524041698
SRI,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,4.246679318614978
URU,0.0,0.007920667503618702,0.0030251142724818233,0.0011816852626882117,0.003713867968448667,12.560144191866415
TAN,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.0030948899737072225,4.156106249826381
BAN,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.5030321405540104
BER,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,4.599235779287511
CMR,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.7800085194595674
CPV,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.8489876129109355
LBA,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.6691114066710044
NCA,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,4.050032343185492
PAR,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,9.785195003453806
PNG,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.7185595423860422
SAM,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,10.835434885489212
TKM,0.0,0.006600556253015585,0.002520928560401519,0.000984737718906843,0.003094889973707222,3.605177812941452
MLI,0.0,0.21260437859368866,0.002016742848321215,0.0007877901751254744,0.20979984557024198,7.500636439665682
AFG,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.381718695258553
ARU,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.806141456572951
BOL,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.7593849624930424
CAF,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.6602636110317857
CAY,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.0748139850946066
CRC,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.9239883408523273
GBS,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.1679607693252745
ISL,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.811057489114698
