NOC,Gold,Silver,Bronze,NoMedal,Medal
SLO,1.7339200960512047,0.5821583904973009,8.79127495606377,13.482056902506145,11.107353442612276
CZE,1.6546139869762857,0.607665580470796,4.138973579572954,37.11530495509292,6.401253147020036
CAN,1.6008055738263072,2.2349247878143004,8.037505195330525,78.10100166859394,11.873235556971132
NOR,1.5380520823774013,0.24466338629777856,4.196696465671101,12.705807034704655,5.979411934346281
IRL,1.445986335571483,1.940580925957427,9.339299542213856,10.535917392922038,12.725866803742766
TJK,1.2672082386417771,0.23775289022690538,0.4146478671825525,2.6143313778134245,1.919608996051235
POL,1.2628536974608742,0.3723654274927847,5.493448945808673,60.37546541220704,7.128668070762332
TUR,1.2304734830755781,0.0,1.649358741141086,30.44116962087573,2.8798322242166643
TUN,1.099429059306821,1.2937206173049514,5.1846654322614505,10.149703472903239,7.577815108873223
LAT,0.9899838812656709,0.35686995158354634,2.009736883038016,13.625082616426955,3.356590715887233
JAM,0.9813233228025571,0.0,0.2431937157506612,15.76960585755684,1.2245170385532183
UZB,0.9411803757432001,1.6595533887019815,3.2607649783107426,12.13212702641263,5.861498742755924
EGY,0.8561528259681924,0.0,10.963659975282848,22.176975391723627,11.819812801251041
BLR,0.850982336232777,0.0,3.9169773127851277,42.28730216734606,4.767959649017905
ARG,0.8228805111204844,0.0,5.493499552243009,19.594019724637462,6.316380063363493
DEN,0.789464210717688,0.8407315555983806,5.785384570866327,26.282554828924802,7.415580337182396
SWE,0.7865195824227205,0.3062552888207143,4.207642493031463,30.550495820035827,5.300417364274898
ZIM,0.7599428357579996,0.0,0.0,2.262639657989157,0.7599428357579996
CRO,0.7483780876536454,0.2853842753227308,5.932802387302779,16.38053823242072,6.966564750279155
DOM,0.6959495330558667,0.0,2.34609991758044,4.1950415141094695,3.0420494506363065
BEL,0.6717911745887882,0.0,3.0360168917341888,28.273237217499066,3.707808066322977
KEN,0.6654784398062057,1.581684964486579,2.828622952074163,13.586058191682834,5.075786356366947
TPE,0.6574548441646284,1.1865494012525937,2.0560387945470073,13.498439950207633,3.9000430399642294
EST,0.643229552124984,0.0006076485030925537,4.191054116448668,6.910630962457871,4.834891317076744
MDA,0.6341748538913279,0.0,1.47712493043096,4.975219532024991,2.111299784322288
NZL,0.5507612183949642,1.4012690573425242,4.4698306357559074,29.390309059957552,6.421860911493396
SVK,0.44768339089327497,0.3742297085999906,5.416759602865105,13.256054832976409,6.238672702358371
GEO,0.4318054186708982,3.790612106786295,2.0024259263488293,5.105445991816665,6.224843451806023
POR,0.43103202920165273,0.0,3.6882865527920754,27.979180696177647,4.119318581993728
GUA,0.42712778829100967,0.0,0.0,7.916491203489523,0.42712778829100967
GRN,0.4251944981035007,0.0,1.724128116806611,0.9849121600157823,2.1493226149101115
UGA,0.4251944981035007,0.0,0.0,5.899895839042906,0.4251944981035007
PUR,0.40003583637432283,0.3742297085999906,5.873996832970289,3.1352631766244206,6.648262377944603
CYP,0.3866703168067559,0.0,0.43103202920165273,3.192825790666176,0.8177023460084086
VEN,0.370519690549926,0.0,5.249200034338722,19.842484032883963,5.619719724888649
MGL,0.3552725678750282,0.386736344540954,3.7688906618225704,5.085916179594624,4.510899574238553
SUI,0.32829736118487407,1.4785545999804466,4.38900564340018,26.342294323442673,6.195857604565501
BUL,0.3079193806403031,0.0,5.196037414607554,13.488661623213126,5.503956795247857
PAN,0.24466338629777856,0.0,1.1854942127295434,1.1393091039031502,1.4301575990273219
SUD,0.24466338629777856,0.0,1.1854942127295434,0.6995278846930515,1.4301575990273219
MAS,0.2417300481024447,0.3742297085999906,4.74135232121818,8.214337055385618,5.357312077920615
SRB,0.23417267333071623,0.6703215040416708,0.0,22.72894781260271,0.904494177372387
QAT,0.0006028283944488973,1.2930960876049582,0.42907880549134547,3.4777158701601705,1.7227777214907525
KUW,0.0006028283944488973,0.0,1.9405640447605264,1.2970641806671162,1.9411668731549752
