NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
DJI,0.0,0.8628455962754538,2.3567274534631637e-05,0.00027471056206012333,0.862547318438859,2.317537927824467
BDI,0.0,0.3242116921983861,2.3567274534631637e-05,0.00027471056206012333,0.32391341436179133,3.5027727268906776
PHI,0.0,1.717029838519206,2.356727453463163e-05,0.0002747105620601233,1.7167315606826112,3.776945480547684
HAI,0.0,1.2938776254771065,2.356727453463163e-05,0.0002747105620601233,1.2935793476405117,2.1396498083347515
MRI,0.0,0.8549657801159002,2.356727453463163e-05,0.0002747105620601233,0.8546675022793054,4.095822364978856
LUX,0.0,0.0007815378721482882,2.356727453463163e-05,0.0002747105620601233,0.0004832600355535333,5.130227343836939
URU,0.0,1.9087821899303314,1.885381962770531e-05,0.3994523610264795,1.5093109750842242,3.3834785804699035
MLT,0.0,1.5095495973535,1.885381962770531e-05,0.00021976844964809866,1.5093109750842242,1.4951239817350397
NCA,0.0,0.8626892887010241,1.885381962770531e-05,0.00021976844964809866,0.8624506664317483,2.4050332129909675
SEN,0.0,0.6559660623643527,1.885381962770531e-05,0.00021976844964809866,0.6557274400950769,5.9120087719941825
ANG,0.0,0.6474855389501943,1.885381962770531e-05,0.00021976844964809866,0.6472469166809185,4.517382507538036
BOL,0.0,0.6474855389501943,1.885381962770531e-05,0.00021976844964809866,0.6472469166809185,2.5435566830422194
FIJ,0.0,0.6474855389501943,1.885381962770531e-05,0.00021976844964809866,0.6472469166809185,3.5345388547964287
GUM,0.0,0.4316572594993713,1.885381962770531e-05,0.00021976844964809866,0.4314186372300955,3.2238982123225854
PAR,0.0,0.4316572594993713,1.885381962770531e-05,0.00021976844964809866,0.4314186372300955,4.224607956357547
BAN,0.0,0.3240553846239564,1.885381962770531e-05,0.00021976844964809866,0.3238167623546806,3.6843548291726615
GAM,0.0,0.0006252302977186306,1.885381962770531e-05,0.00021976844964809866,0.0003866080284428267,2.0575903550057273
ISL,0.0,3.449974215736497,1.414036472077898e-05,0.000164826337236074,3.4497952490345405,4.521098084632837
JOR,0.0,2.0801618404245312,1.414036472077898e-05,0.000164826337236074,2.0799828737225745,1.6034302215249308
MDV,0.0,1.5093932897790703,1.414036472077898e-05,0.000164826337236074,1.5092143230771133,1.3688774757795985
SEY,0.0,1.5093932897790703,1.414036472077898e-05,0.000164826337236074,1.5092143230771133,1.4770800579096184
CMR,0.0,1.4851054891550282,1.414036472077898e-05,0.000164826337236074,1.4849265224530712,4.00233718766176
GUI,0.0,0.8625329811265944,1.414036472077898e-05,0.000164826337236074,0.8623540144246375,1.59318627864458
MKD,0.0,0.8625329811265944,1.414036472077898e-05,0.000164826337236074,0.8623540144246375,1.5847057552304216
CRC,0.0,0.7989341078769518,1.414036472077898e-05,0.000164826337236074,0.798755141174995,4.238552319554643
MOZ,0.0,0.7549311062511795,1.414036472077898e-05,0.000164826337236074,0.7547521395492227,2.036433661456144
TKM,0.0,0.6012456733431975,1.414036472077898e-05,0.000164826337236074,0.6010667066412406,3.483923286281775
BIH,0.0,0.43150095192494164,1.414036472077898e-05,0.000164826337236074,0.4313219852229848,2.2531873325072467
SMR,0.0,0.43150095192494164,1.414036472077898e-05,0.000164826337236074,0.4313219852229848,2.123339659307489
NEP,0.0,0.32389907704952675,1.414036472077898e-05,0.000164826337236074,0.3237201103475699,2.545631751431651
BER,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,3.856391703623176
CAM,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,3.046584892541872
LCA,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,2.482696320872139
PAK,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,2.8338923414676214
SUR,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,2.7591933080882107
SWZ,0.0,0.00046892272328897297,1.414036472077898e-05,0.000164826337236074,0.00028995602133212,2.114599722229998
SYR,0.0,0.431344644350512,9.426909813852655e-06,0.43114191342647673,0.00019330401422141334,3.716696272617887
TAN,0.0,0.431344644350512,9.426909813852655e-06,0.00010988422482404934,0.4312253332158741,2.1001756566269747
CGO,0.0,1.1858068278784026,9.426909813852655e-06,0.00010988422482404933,1.1856875167437648,2.154989575585317
COD,0.0,0.8623766735521649,9.426909813852655e-06,0.00010988422482404933,0.8622573624175269,1.1644649090503032
GEQ,0.0,0.8623766735521649,9.426909813852655e-06,0.00010988422482404933,0.8622573624175269,0.6252302977186306
UAE,0.0,0.8623766735521649,9.426909813852655e-06,0.00010988422482404933,0.8622573624175269,2.7567103624590406
ISV,0.0,0.8463744101028184,9.426909813852655e-06,0.00010988422482404933,0.8462550989681805,3.107181042612197
GAB,0.0,0.695666483682348,9.426909813852655e-06,0.00010988422482404933,0.69554717254771,1.9178445042526995
DMA,0.0,0.431344644350512,9.426909813852655e-06,0.00010988422482404933,0.4312253332158741,1.0013280280854442
HON,0.0,0.431344644350512,9.426909813852655e-06,0.00010988422482404933,0.4312253332158741,3.4878144289019177
IVB,0.0,0.431344644350512,9.426909813852655e-06,0.00010988422482404933,0.4312253332158741,1.0013280280854442
OMA,0.0,0.431344644350512,9.426909813852655e-06,0.00010988422482404933,0.4312253332158741,1.487294356121936
ESA,0.0,0.3322232928892556,9.426909813852655e-06,0.00010988422482404933,0.3321039817546177,4.07586354176156
MON,0.0,0.3237427694750971,9.426909813852655e-06,0.00010988422482404933,0.3236234583404592,2.5278969776731866
BUR,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,2.466065342514808
CAF,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,2.63832461589259
LES,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,2.1868222408149878
PLE,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,2.466065342514808
RWA,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,3.287590027215801
SKN,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,2.3493584145252413
SLE,0.0,0.0003126151488593153,9.426909813852655e-06,0.00010988422482404933,0.00019330401422141334,1.487294356121936
