NOC,Gold,Silver,Bronze,NoMedal,Medal,,,,,,,,,,,
GUI,0,0,0.940106718,0.655340832,0.940106718,,,,,,,,,,,
GUY,0,0,0.940106718,1.035252563,0.940106718,,,,,,,,,,,
ISR,0,0,0.940106718,16.11856346,0.940106718,,,,,,,,,,,
MAW,0,0,0.940106718,0.323430154,0.940106718,,,,,,,,,,,
MKD,0,0,0.940106718,0.646860309,0.940106718,,,,,,,,,,,
MTN,0,0,0.940106718,0,0.940106718,,,,,,,,,,,
MYA,0,0,0.940106718,1.436115448,0.940106718,,,,,,,,,,,
NCA,0,0,0.940106718,1.154572618,0.940106718,,,,,,,,,,,
NIG,0,0,0.940106718,1.159387686,0.940106718,,,,,,,,,,,
PLW,0,0,0.940106718,0.955729207,0.940106718,,,,,,,,,,,
UAE,0,0,0.940106718,2.131480065,0.940106718,,,,,,,,,,,
VAN,0,0,0.940106718,1.193974736,0.940106718,,,,,,,,,,,
MRI,0,0,0.931513542,2.532746621,0.931513542,,,,,,,,,,,
ISV,0,0,0.922655769,2.481950745,0.922655769,,,,,,,,,,,
CRC,0,0,0.870750238,3.300706873,0.870750238,,,,,,,,,,,
LIB,0,0,0.822763645,2.900776673,0.822763645,,,,,,,,,,,
MOZ,0,0,0.822763645,1.098588215,0.822763645,,,,,,,,,,,
TTO,0,0,0.816397642,10.49353035,0.816397642,,,,,,,,,,,
GBS,0,0,0.810043375,0.665009213,0.810043375,,,,,,,,,,,
SAM,0,0,0.797635894,2.458823259,0.797635894,,,,,,,,,,,
GAB,0,0,0.758304254,1.292614207,0.758304254,,,,,,,,,,,
SEN,0,0,0.714668838,4.661548177,0.714668838,,,,,,,,,,,
ANG,0,0,0.705420572,3.266921912,0.705420572,,,,,,,,,,,
ARU,0,0,0.705420572,0.632299053,0.705420572,,,,,,,,,,,
BOL,0,0,0.705420572,1.293096088,0.705420572,,,,,,,,,,,
FIJ,0,0,0.705420572,2.284078259,0.705420572,,,,,,,,,,,
MAD,0,0,0.705420572,1.806128965,0.705420572,,,,,,,,,,,
MLI,0,0,0.705420572,1.458695175,0.705420572,,,,,,,,,,,
SRI,0,0,0.705420572,2.344889233,0.705420572,,,,,,,,,,,
TKM,0,0,0.65516507,2.54607784,0.65516507,,,,,,,,,,,
ANT,0,0,0.470053359,0.812756927,0.470053359,,,,,,,,,,,
BIH,0,0,0.470053359,1.315341886,0.470053359,,,,,,,,,,,
COM,0,0,0.470053359,0.699527885,0.470053359,,,,,,,,,,,
DMA,0,0,0.470053359,0.37609773,0.470053359,,,,,,,,,,,
FSM,0,0,0.470053359,1.482898652,0.470053359,,,,,,,,,,,
GUM,0,0,0.470053359,1.973437617,0.470053359,,,,,,,,,,,
HON,0,0,0.470053359,2.862584131,0.470053359,,,,,,,,,,,
IRQ,0,0,0.470053359,2.381070106,0.470053359,,,,,,,,,,,
IVB,0,0,0.470053359,0.37609773,0.470053359,,,,,,,,,,,
LBA,0,0,0.470053359,0.900004218,0.470053359,,,,,,,,,,,
NAM,0,0,0.470053359,2.653172097,0.470053359,,,,,,,,,,,
OMA,0,0,0.470053359,0.862064058,0.470053359,,,,,,,,,,,
PAR,0,0,0.470053359,2.974147361,0.470053359,,,,,,,,,,,
SMR,0,0,0.470053359,1.185494213,0.470053359,,,,,,,,,,,
TAN,0,0,0.470053359,1.474945359,0.470053359,,,,,,,,,,,
TGA,0,0,0.470053359,0.568093541,0.470053359,,,,,,,,,,,
ESA,0,0,0.361958551,3.450633244,0.361958551,,,,,,,,,,,
BAN,0,0,0.352710286,2.433894234,0.352710286,,,,,,,,,,,
BDI,0,0,0.352710286,1.939696983,0.352710286,,,,,,,,,,,
CIV,0,0,0.352710286,3.39891117,0.352710286,,,,,,,,,,,
MON,0,0,0.352710286,1.90266668,0.352710286,,,,,,,,,,,
NEP,0,0,0.352710286,1.607786305,0.352710286,,,,,,,,,,,
PNG,0,0,0.352710286,2.347770018,0.352710286,,,,,,,,,,,
AFG,0,0,0,1.823497892,0,,,,,,,,,,,
ASA,0,0,0,1.409803016,0,,,,,,,,,,,
BAH,0,0,0,8.249070395,0,,,,,,,,,,,
BEN,0,0,0,1.669794525,0,,,,,,,,,,,
BER,0,0,0,2.918546257,0,,,,,,,,,,,
BHU,0,0,0,0.862064058,0,,,,,,,,,,,
BOT,0,0,0,1.310147137,0,,,,,,,,,,,
BRU,0,0,0,1.185494213,0,,,,,,,,,,,
BUR,0,0,0,1.840835045,0,,,,,,,,,,,
CAF,0,0,0,2.013094318,0,,,,,,,,,,,
CAM,0,0,0,2.108739446,0,,,,,,,,,,,
CHA,0,0,0,0.762942707,0,,,,,,,,,,,
COK,0,0,0,3.470763178,0,,,,,,,,,,,
CPV,0,0,0,1.193974736,0,,,,,,,,,,,
ERI,0,0,0,4.789413374,0,,,,,,,,,,,
EUN,0,0,0,0.053390974,0,,,,,,,,,,,
GAM,0,0,0,0.80712976,0,,,,,,,,,,,
GHA,0,0,0,1.929966269,0,,,,,,,,,,,
IOA,0,0,0,1.617005634,0,,,,,,,,,,,
KIR,0,0,0,1.162452434,0,,,,,,,,,,,
